,Unnamed: 0,Title,Price,Location,Description,Condition,year,Make,Model,Trim,Color,Body Type,Number of Doors,Number of Seats,Drive Train,Transmission,Mileage
572,64,2015 Nissan Frontier SV KING CAB | REAR WINDOW | TONNEAU COVER |,"$21,995.00",Markham / York Region 28/10/2022,"All of our vehicles are fully certified, meticulously detailed and professionally reconditioned by our factory trained licensed technicians to the highest standards possible. Industry-leading ...
Automatic | 83,461 km | CARFAX Canada Report",Used,2015.0,Nissan,Frontier,SV KING CAB | REAR WINDOW | TONNEAU COVER |,Other,Pickup Truck,4,4,Rear-wheel drive (RWD),Automatic,"83,461"
573,65,2022 RAM 1500 Classic Express 4x4 Crew Cab 5'7 Box Night,"$58,998.00
$60,770.00
MSRP: $66,965.00",NEW CAR City of Toronto < 56 minutes ago,"This brand new 2022 RAM 1500 Classic Express 4x4 Crew Cab with a 5'7'' box is a force to be reckoned with! It delivers a Regular Unleaded V-8 5.7 L/345 engine powering this Automatic transmission. ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic",New,2022.0,Ram,1500,Express 4x4 Crew Cab 5'7 Box Night Edition RamBox Sub Zero Pkg,Other,Pickup Truck,4,5,4 x 4,Automatic,
574,66,2014 Honda Civic Sedan,"$15,880.00",City of Toronto < 56 minutes ago,"2014 Honda Civic Sedan 4dr CVT EX Automatic 1.8L 4-Cyl Gasoline This is a Financing price: $16480 the cash Price is: $17888 The vehicle is ONSALE for financing with the best interest rate and ...
91,000 km",Used,2014.0,Honda,Civic,EX 4dr CVT EX,Silver,Sedan,,,Front-wheel drive (FWD),,"91,000"
575,67,2018 Nissan Rogue S,"$23,995.00",Markham / York Region < 56 minutes ago,"L/100Km City: 9.2 L/100Km Hwy: 7.0
For over 60 years... It’s not a deal unless it’s a Plaza deal!
83,514 km | CARFAX Canada Report",Used,2018.0,Nissan,Rogue,S,Other,"SUV, Crossover",4,5,Front-wheel drive (FWD),,"83,514"
576,68,2018 Nissan Rogue S AWD Bluetooth Backup Camera Heated Front,"$22,998.00",Mississauga / Peel Region < 57 minutes ago,"Purchasing the perfect vehicle couldn't be easier! Make the right choice with this reliable 2018 Nissan Rogue AWD.Tire Pressure Monitoring System Tire Specific Low Tire Pressure Warning, Side Impact ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 91,908 km | CARFAX Canada Report",Used,2018.0,Nissan,Rogue,S AWD Bluetooth Backup Camera Heated Front Seats Blind Spot,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"91,908"
577,69,2016 Chevrolet Cruze LT,"$10,999.00",Brampton < 57 minutes ago,"2016 Chevrolet Cruze LT $10999 Certified, one price , no hidden charges KEYLESS ENTRY Remote starter 2 keys AM/FM/CD PLAYER AUX INPUT A/c-heating Automatic transmission Back-up camera And so much ...
Automatic | 144,000 km",Used,2016.0,Chevrolet,Other,LT,Silver,Sedan,4,5,Front-wheel drive (FWD),Automatic,"144,000"
578,70,Mazda RX8 for Sale,"$6,000.00",Pickering < 57 minutes ago,"Selling my 2004 RX8 because I’m moving to Alberta. Not interested in trades. This is my project car that I daily - lots of blood, sweat and mostly tears. But it’s time to say goodbye. Price is ...
Automatic | 117,000 km",Used,2004.0,Mazda,RX-8,GT,Red,Coupe (2 door),2,4,Rear-wheel drive (RWD),Automatic,"117,000"
579,71,2021 RAM 1500 Rebel 4x4 Diesel Night Edition Navigation,"$62,998.00",Mississauga / Peel Region < 58 minutes ago,"This RAM 1500 Rebel 4x4 Night Edition has a powerful Intercooled Turbo Diesel V-6 3.0 L Engine powering this Automatic transmission. This Vehicle Has A Clean Carfax Report *This RAM 1500 Features the ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 51,544 km",Used,2021.0,Ram,1500,Rebel 4x4 Diesel Night Edition Navigation Apple Car play Heated Seats,Other,Pickup Truck,4,5,4 x 4,Automatic,"51,544"
580,72,Honda Accord Sport 2015,"$15,500.00",Toronto < 58 minutes ago,"Honda Accord Sport 148000 km New brake 2.4 liter 18” rim and tire 4cylinder
148,000 km",Used,2015.0,Honda,Accord,sport,Silver,Sedan,4,5,Front-wheel drive (FWD),,"148,000"
581,73,Chevrolet Malibu 2016,"$9,000.00",Mississauga < 58 minutes ago,"-Malibu 2016 -Tinted glasses -Single owner -Bought another car so selling this love -Commuting from Niagara to Brampton Mostly -Take car to your Mechanic for diagnose -Set of winter tires & summer ...
Automatic | 330,000 km",Used,2016.0,Chevrolet,Malibu,,Black,Sedan,4,5,,Automatic,"330,000"
582,74,2022 Ram 1500 Sport,"$75,815.00
MSRP: $77,315.00",NEW CAR City of Toronto < 59 minutes ago,"ENGINE: 5.7L HEMI VVT V8 W/FUELSAVER MDS -inc: Active Noise Control System Heavy-Duty Engine Cooling Passive Tuned Mass Damper HEMI Badge 220 Amp Alternator (STD),Four Wheel Drive,Tow Hitch,Power ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic",New,2022.0,Ram,1500,Sport,Other,Pickup Truck,4,5,4 x 4,Automatic,
583,75,BMW 2008,"$9,000.00",Ajax < 60 minutes ago,"Very clean and well maintained car
Other | 192,883 km",Used,2008.0,BMW,3-Series,328i,Grey,Sedan,4,5,Rear-wheel drive (RWD),Other,"192,883"
584,76,2018 KIA SPORTAGE EX PREMIUM AWD CARFAX ACCIDENT-FREE,"$24,800.00",Toronto < 60 minutes ago,"• LOW MILEAGE • INCLUDED 5 STAR UPGRADE PROTECTION UP TO 160,000 KMs, UNTIL Feb. 24, 2026 (Worth ~@4000) • INCLODED 4 ALMOST NEW MICHELIN WINTER TIERS AND RIMS (Worth Over $1000) SCRATCH FREE, there ...
Automatic | 80,000 km | CARFAX Canada Report",Used,2018.0,Kia,Sportage,EX Premium,White,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"80,000"
585,77,2009 Hyundai Tucson GL 4WD,"$4,000.00",Toronto < 60 minutes ago,"Car in perfect condition for any type of use, all revisions done and oil change done every 5.000km
Automatic | 323,832 km",Used,2009.0,Hyundai,Tucson,,,"SUV, Crossover",,,,Automatic,"323,832"
586,78,Volvo XC60 AWD 2010,"$9,200.00",Toronto < 2 hours ago,"One owner Car is in a good condition serviced at Volvo always Comes with Winter and all season tires
Automatic | 218,000 km",Used,2010.0,Volvo,XC60,XC60 AWD,Black,"SUV, Crossover",,5,All-wheel drive (AWD),Automatic,"218,000"
587,79,BMW x5 3.5i 2011,"$15,500.00",Toronto < 2 hours ago,"2011 BMW X5 xDrive35i Clean, Fully Loaded : Automatic Transmission AWD Drivetrain Power Windows, Mirrors and Locks A/C CD Player Sunroof Heated Seats Leather Seats Power Seat Memory Seat Automatic ...
Automatic | 143,000 km",Used,2011.0,BMW,X5,35i,Black,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"143,000"
588,80,2017 MINI Cooper Convertible John Cooper Works,"$27,990.00",City of Toronto < 2 hours ago,"Engine: 4 Cylinder Engine 2.0L L/100Km City: 10.8 L/100Km Hwy: 7.7 Safety Equipment Electronic Stability Control (ESC) ABS And Driveline Traction Control Side Impact Beams Dual Stage Driver And ...
Automatic | 90,884 km | CARFAX Canada Report",Used,2017.0,MINI,John Cooper Works,John Cooper Works,Black,Convertible,2,,Front-wheel drive (FWD),Automatic,"90,884"
589,81,2022 Chrysler Pacifica Hybrid Limited,"$62,241.00",NEW CAR City of Toronto < 2 hours ago,"ENGINE: 3.6L PENTASTAR VVT V6 HYBRID (STD),Aluminum Wheels,Panoramic Roof,Tires - Front All-Season,Front Wheel Drive,Dual Moonroof,Generic Sun/Moonroof,Power Steering,Dual Moonroof,ABS,Tires - Rear ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic",New,2022.0,Chrysler,Pacifica,Limited,Other,"Minivan, Van",4,7,Front-wheel drive (FWD),Automatic,
590,82,2002 Toyota Highlander Low Mileage V6,"$5,000.00",Toronto < 2 hours ago,"Runs and drives great engine transmission good. For safety it needs tires. Sold as is located in Scarborough
Automatic | 183,000 km",Used,2002.0,Toyota,Highlander,v6,Silver,"SUV, Crossover",,5,All-wheel drive (AWD),Automatic,"183,000"
591,83,2021 Volkswagen Jetta GLI,"$38,995.00",Mississauga / Peel Region < 2 hours ago,"Engine: 4 Cylinder Engine 2.0L L/100Km City: 9.7 L/100Km Hwy: 6.8
Award Winning Vehicles, Award Winning Service
Automatic | 45,429 km | CARFAX Canada Report",Used,2021.0,Volkswagen,Jetta,GLI,Other,Sedan,4,5,Front-wheel drive (FWD),Automatic,"45,429"
592,84,2022 RAM 1500 Classic Warlock 4x4 Crew Cab 5'7 Box Remote Start,"$57,498.00
MSRP: $66,000.00",NEW CAR City of Toronto < 2 hours ago,"This brand new 2022 RAM 1500 Classic Warlock 4x4 Crew Cab with a 5'7'' box is a force to be reckoned with! It boasts a Regular Unleaded V-8 5.7 L/345 engine powering this Automatic transmission. ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic",New,2022.0,Ram,1500,Warlock 4x4 Crew Cab 5'7 Box Remote Start HEMI V8 Tech Pkg I,Other,Pickup Truck,4,6,4 x 4,Automatic,
593,85,2019 Ford Fusion SE AUTO * ONE OWNER * 1 YEAR WARRANTY * SERVICE RECORDS *,"$15,900.00",Oakville / Halton Region < 2 hours ago,"New Car Trade, Excellent Condition, One Owner, Serviced At FORD, Carfax Verified, Highway Driven, Brand New Brakes (Pads & Rotors), Brand New Tires, Fully Certified With 12 Months Warranty Included. ...
Automatic | 266,000 km",Used,2019.0,Ford,Fusion,SE AUTO * ONE OWNER * 1 YEAR WARRANTY * SERVICE RECORDS *,Black,Sedan,,,Front-wheel drive (FWD),Automatic,"266,000"
594,86,2011 Kia Rio EX,"$6,995.00",Markham / York Region < 2 hours ago,"L/100Km City: 7.1 L/100Km Hwy: 5.8
For over 60 years... It’s not a deal unless it’s a Plaza deal!
Manual | 86,394 km | CARFAX Canada Report",Used,2011.0,Kia,Rio,EX,Other,Sedan,4,5,Front-wheel drive (FWD),Manual,"86,394"
595,87,2016 Land Rover Discovery Sport HSE AWD Panoramic Sunroof,"$24,688.00",Mississauga / Peel Region < 2 hours ago,"Tried-and-true, this 2016 Land Rover Discovery Sport HSE AWD makes room for the whole team. Tire Specific Low Tire Pressure Warning, Terrain Response Electronic Stability Control (ESC) And Roll ...
Automatic | 132,624 km | CARFAX Canada Report",Used,2016.0,Land Rover,Other,HSE AWD Panoramic Sunroof Heated Front Seats 19Alloy,Other,"SUV, Crossover",4,5,4 x 4,Automatic,"132,624"
596,88,2022 RAM 3500 Laramie 4x4 6.7L Diesel Navigation Heavy Duty,"$104,810.00",Mississauga / Peel Region < 2 hours ago,"This RAM 3500 Laramie 4x4 Diesel has a strong Intercooled Turbo Diesel I-6 6.7 L Engine powering this Automatic transmission. Only 1,036 Miles! This Vehicle Has A Clean Carfax Report *This RAM 3500 ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 1,036 km",Used,2022.0,Ram,3500,Laramie 4x4 6.7L Diesel Navigation Heavy Duty Snow Plow Prep,Other,Pickup Truck,4,5,4 x 4,Automatic,"1,036"
597,89,2019 Honda CR-V EX-L,Please Contact,City of Toronto < 2 hours ago,"All Wheel Drive,Automatic Headlights,Rear Spoiler,Tires - Rear All-Season,ABS,Sun/Moonroof,Power Steering,Rear Defrost,Aluminum Wheels,Power Mirror(s),Integrated Turn Signal Mirrors,Daytime Running ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 80,803 km",Used,2019.0,Honda,CR-V,EX-L,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"80,803"
598,90,"2021 GMC Sierra 1500 **2.7L/20"" Wheels/Carplay**","$44,988.00",City of Toronto 29/10/2022,"Are you looking for your next pickup at a great price? Well look no further than this beautiful black 2021 GMC Sierra Crew Cab 4x4. This truck has some great features, including: fuel efficient 2.7L ...
Automatic | 32,672 km | CARFAX Canada Report",Used,2021.0,GMC,Sierra 1500,Other,Black,Other,,,4 x 4,Automatic,"32,672"
599,91,2017 Volkswagen Tiguan Highline HEATED SEATS | REVERSE CAMERA...,"$25,588.00",Provincial Top Ad:  City of Toronto 28/10/2022,"$0 Down*. We deliver all across the GTA! All trade-in's are welcome! This vehicle nicely equipped with. AWD, 4-Wheel Disc Brakes, 6 speakers, ABS brakes, Air Conditioning, Alloy wheels, Automatic ...
Automatic | 103,525 km | CARFAX Canada Report",Used,2017.0,Volkswagen,Tiguan,Highline,Grey,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"103,525"
600,92,2021 Chevrolet Spark 1LT NO ACCIDENT | NEW ARRIVAL | LOW KM,"$22,955.00",Oshawa / Durham Region 27/10/2022,"Recent Arrival! 2021 Chevrolet Spark 1LT 1LT NO ACCIDENT NEW ARRIVAL Summit White CVT 1.4L DOHC FWD NO ACCIDENTS, MARKET VALUE PRICING ,ABS brakes,Air Conditioning,Alloy wheels,Apple CarPlay Android ...
Automatic | 26,268 km | CARFAX Canada Report",Used,2021.0,Chevrolet,Spark,1LT NO ACCIDENT | NEW ARRIVAL | LOW KM,White,Sedan,,,Front-wheel drive (FWD),Automatic,"26,268"
601,93,2017 Honda Civic Sedan EX CVT|ALLOYS|SUNROOF|BLINDSPOTCAM|HEATEDSEATS|+++,"$21,897.00",City of Toronto 26/10/2022,"**MONTH-END SPECIAL!** HIGHLY EQUIPPED, VERY CLEAN! FINISHED IN WHITE ON MATCHING BLACK INTERIOR, HEATED SEATS, MULTI VIEW BACKUP CAMERA, BLINDSPOT CAMERA, FORWARD COLLISION WARNING, ADAPTIVE CRUISE ...
CALL 1 (866) 799-6107 | FAVORITMOTORSCANADA.CA | REQUEST A CARPROOF TODAY - FINANCING AVAILABLE* (conditions may apply)
Automatic | 107,575 km | CARFAX Canada Report",Used,2017.0,Honda,Civic,EX CVT|ALLOYS|SUNROOF|BLINDSPOTCAM|HEATEDSEATS|+++,White,Sedan,4,5,Front-wheel drive (FWD),Automatic,"107,575"
602,94,2018 Mercedes-Benz C43 AMG 4MATIC Coupe,"$48,599.00",Mississauga / Peel Region < 19 hours ago,"Humberview Volkswagen on the Queensway This 2018 Mercedes C43 AMG is dresses in Grey paint with Black AMG leather interior and 18” alloy wheels. Equipped with a V6 Bi-Turbo engine, 9 speed automatic ...
Automatic | 55,359 km | CARFAX Canada Report",Used,2018.0,Mercedes-AMG,C-Class,4MATIC Coupe,Grey,Coupe (2 door),,,Other,Automatic,"55,359"
603,95,BUDGET HOME/AUTO/COMMERCIAL INSURANCE!!,Please Contact,Mississauga / Peel Region < 2 hours ago,"Home/auto/commercial New drivers/New to the country/High risk drivers are accommodated ***Give me a call day or night for a no obligation quote!! 647-236-9653***
123,456 km",Used,2022.0,Ford,F-150,,,Pickup Truck,,,,,"123,456"
604,96,AFFORDABLE HOME/AUTO/COMMERCIAL INSURANCE!,Please Contact,Mississauga / Peel Region < 2 hours ago,"Home/auto/commercial New drivers/New to the country/High risk drivers are accommodated ***Give me a call day or night for a no obligation quote!! 647-236-9653***
123,456 km",Used,2022.0,Chevrolet,Silverado 1500,,,Pickup Truck,,,,,"123,456"
605,97,2022 Ford Transit Cargo Van BASE,"$57,185.00
MSRP: $57,185.00",NEW CAR Oakville / Halton Region < 2 hours ago,RACE RED|VINYL|DARK PALAZZO GREY|.XL TRIM|3.5L PFDI V6|.10-SPEED TRANSMISSION|.235/65R16C BSW ALL-SEASON|4.10 LIMITED SLIP AXLE|JOB #1 ORDER|FRONT LICENSE PLATE BRACKET|9070# GVWR PACKAGE|2WAY ...,New,2022.0,Ford,Transit,BASE,Red,"Minivan, Van",2,1,All-wheel drive (AWD),,
606,98,LOOKING FOR A G WAGON G63 G550 G55,"$85,000.00",City of Toronto < 2 hours ago,"Hi, I’m in the market for a g63 g550 or a g55 for personal use. Send me details if you have anything. I don’t mind higher mileage or something that needs work. Looking to purchase something asap!
Automatic | 180,000 km",Used,2013.0,Mercedes-Benz,G-Class,,,"SUV, Crossover",,,,Automatic,"180,000"
607,99,2007 Toyota FJ Cruiser 4WD Auto,"$14,800.00",City of Toronto < 2 hours ago,"S O O O L D !!! S O O O L D !!! LOW KM, WITH ALL MAINTENANCE RECORDS. $2000 SAFETY SERVICE INCLUDED !!! No accidents, nonsmoker. Loaded, everything working, remote start, custom bumper with XRC ...
Automatic | 239,650 km",Used,2007.0,Toyota,FJ Cruiser,4WD Auto,Yellow,"SUV, Crossover",4,5,4 x 4,Automatic,"239,650"
608,100,2023 Volkswagen Jetta,"$26,291.00
MSRP: $26,291.00",NEW CAR Oakville / Halton Region < 2 hours ago,"Engine: 4 Cylinder Engine 1.5L L/100Km City: 8.2 L/100Km Hwy: 5.6
Manual",New,2023.0,Volkswagen,Jetta,Trendline 1.5 T 6Sp,Silver,Sedan,4,5,Front-wheel drive (FWD),Manual,
609,101,Chevrolet Optra 2006,"$3,500.00",Oshawa / Durham Region < 2 hours ago,"Low mileage (only 92100 ) Automatic Transmission Remote start A/C and heater working Smooth ride Comes with winter tires on steel rims Comes with alloy wheels wheels for summer Needs some TLC as some ...
Automatic | 92,100 km",Used,2006.0,Chevrolet,Optra,,Grey,Hatchback,5,5,Front-wheel drive (FWD),Automatic,"92,100"
610,102,"2009 TOYOTA RAV4 LIMITED 4WD | 136,750 KMS | V4 | CERTIFIED |","$13,898.00",City of Toronto < 2 hours ago,"Just arrived! Beautiful Classic Silver Metallic 2009 Toyota RAV4 LIMITED 4WD with ONLY 136,750 KMS!! Very clean in and out. No rust. 2.4L 4 cylinder great on gas and very reliable. FULLY LOADED with ...
Quality Cars, Quality Care!
Automatic | 136,750 km | CARFAX Canada Report",Used,2009.0,Toyota,RAV4,Limited,Silver,"SUV, Crossover",,,4 x 4,Automatic,"136,750"
611,103,2023 Volkswagen Tiguan,"$43,501.00
MSRP: $43,501.00",NEW CAR Oakville / Halton Region < 2 hours ago,"Engine: 4 Cylinder Engine 2.0L L/100Km City: 11.0 L/100Km Hwy: 8.3
Automatic",New,2023.0,Volkswagen,Tiguan,Comfortline R-Line Black 2.0T 8sp at w/Tip 4M,Black,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,
612,104,2023 Ford F150 4X4 PLATINUM-145,"$122,295.00
MSRP: $122,295.00",NEW CAR Oakville / Halton Region < 2 hours ago,"AVALANCHE|PLATINUM BLACK LEATHER BUCKET|BLACK|.PLATINUM BEV SERIES|.22"" BRIGHT EBONY PAINTED WHLS|.ZERO EMISSION VEHICLE|DUAL EMOTOR-EXT RANGE BTTRY|SINGLE-SPEED TRANSMISSION|.275/50R22 BSW ...
Automatic",New,2023.0,Ford,Other,4X4 PLATINUM-145,Other,Pickup Truck,4,5,All-wheel drive (AWD),Automatic,
613,105,Ford Escape,"$6,500.00",City of Toronto < 2 hours ago,"2008 Ford Escape XLT $6500.00 Kilometers: 215000 SUV, Automatic, Front Wheel Drive, 4 Doors, 5 Seats Air conditioning Plus, with Four Winter Tire Runs great and has no issues. Comes with a full set ...
Automatic | 215,000 km",Used,2008.0,Ford,Escape,XLT,Other,"SUV, Crossover",4,5,Front-wheel drive (FWD),Automatic,"215,000"
614,106,"2019 Jeep Grand Cherokee Laredo 4x4 W/ CarPlay, Android Auto, Backup Camera","$40,990.00",City of Toronto < 2 hours ago,"See Dealer Website for Details.
Automatic | 42,743 km | CARFAX Canada Report",Used,2019.0,Jeep,Grand Cherokee,"Laredo 4x4 W/ CarPlay, Android Auto, Backup Camera",Black,"SUV, Crossover",4,5,4 x 4,Automatic,"42,743"
615,107,2014 Hyundai Accent GLS,"$9,995.00",Mississauga / Peel Region < 2 hours ago,"More photos coming soon Engine: 4 Cylinder Engine 1.6L L/100Km City: 7.5 L/100Km Hwy: 5.3 Safety Equipment Electronic Stability Control (ESC) ABS And Driveline Traction Control Side Impact Beams Dual ...
Manual | 135,221 km",Used,2014.0,Hyundai,Accent,GLS | SUNROOF | HYUNDAI SERVICED | ALLOYS,Grey,Hatchback,4,5,Front-wheel drive (FWD),Manual,"135,221"
616,108,2016 Subaru Impreza SPORT PKG| AWD | SUBARU SERVICED | REARVIEW | CAMERA| RELIABLE,"$14,480.00",Mississauga / Peel Region < 2 hours ago,"Engine: 4 Cylinder Engine 2.0L L/100Km City: 8.5 L/100Km Hwy: 6.4 Safety Equipment Electronic Stability Control (ESC) ABS And Driveline Traction Control Side Impact Beams Dual Stage Driver And ...
Automatic | 103,112 km",Used,2016.0,Subaru,Impreza,SPORT PKG| AWD | SUBARU SERVICED | REARVIEW | CAMERA| RELIABLE,Blue,Sedan,4,5,All-wheel drive (AWD),Automatic,"103,112"
617,109,2011 Honda Civic Sdn SE | SUNROOF | HONDA SERVICED | ALLOYS | GREAT SHAPE!!!,"$7,480.00",Mississauga / Peel Region < 2 hours ago,"Engine: 4 Cylinder Engine 1.8L L/100Km City: 7.4 L/100Km Hwy: 5.4 Safety Equipment 4-wheel anti-lock braking system (ABS) w/electronic brake distribution (EBD) Advanced Compatibility Engineering ...
Manual | 176,210 km",Used,2011.0,Honda,Civic,SE | SUNROOF | HONDA SERVICED | ALLOYS | GREAT SHAPE!!!,Black,Sedan,4,5,Front-wheel drive (FWD),Manual,"176,210"
618,110,2015 Honda Civic Coupe EX | SUNROOF | SIDE CAMERA | HONDA SERVICED | COUPE,"$12,480.00",Mississauga / Peel Region < 2 hours ago,"Engine: 4 Cylinder Engine 1.8L L/100Km City: 8.1 L/100Km Hwy: 6.2 Safety Equipment VSA Electronic Stability Control (ESC) ABS And Driveline Traction Control Side Impact Beams Dual Stage Driver And ...
Automatic | 170,431 km",Used,2015.0,Honda,Civic,EX | SUNROOF | SIDE CAMERA | HONDA SERVICED | COUPE,Black,Coupe (2 door),2,5,Front-wheel drive (FWD),Automatic,"170,431"
619,111,2018 Hyundai Elantra SE | BLINDSPOT MONITOR | HYUNDAI SERVICED,"$16,380.00",Mississauga / Peel Region < 2 hours ago,"Engine: 4 Cylinder Engine 2.0L L/100Km City: 8.3 L/100Km Hwy: 6.4 Safety Equipment Electronic Stability Control (ESC) ABS And Driveline Traction Control Side Impact Beams Dual Stage Driver And ...
Automatic | 71,229 km",Used,2018.0,Hyundai,Elantra,SE | HYUNDAI SERVICED | ONE OWNER | BLINDSPOT MONITOR| APPLE CARPLAY | REAR CAMERA,Grey,Sedan,4,5,Front-wheel drive (FWD),Automatic,"71,229"
620,112,2015 Honda Civic Coupe SI | VTEC | HONDA SERVICED | REARVIEW CAM| RARE,"$15,880.00",Mississauga / Peel Region < 2 hours ago,"Engine: 4 Cylinder Engine 2.4L L/100Km City: 10.8 L/100Km Hwy: 7.6 Safety Equipment VSA Electronic Stability Control (ESC) ABS And Driveline Traction Control Side Impact Beams Dual Stage Driver And ...
Manual | 174,228 km",Used,2015.0,Honda,Civic,SI | VTEC | HONDA SERVICED | REARVIEW CAM| RARE,Grey,Coupe (2 door),2,5,Front-wheel drive (FWD),Manual,"174,228"
621,113,2015 Toyota Corolla SUNROOF | ALLOY WHEELS | TOYOTA SERVICED | REARVIEW CAMERA| HEATED SEATS,"$13,880.00",Mississauga / Peel Region < 2 hours ago,"Engine: 4 Cylinder Engine 1.8L L/100Km City: 8.6 L/100Km Hwy: 6.5 Safety Equipment Electronic Stability Control (ESC) ABS And Driveline Traction Control Side Impact Beams Dual Stage Driver And ...
Automatic | 174,821 km",Used,2015.0,Toyota,Corolla,SUNROOF | ALLOY WHEELS | TOYOTA SERVICED | REARVIEW CAMERA| HEATED SEATS,White,Sedan,4,5,Front-wheel drive (FWD),Automatic,"174,821"
622,114,2014 Ford Super Duty F-250 SRW XLT | 4X4 |SUPER DUTY | LONG BOX | FORD SERVICED | CLEAN,"$23,888.00",Mississauga / Peel Region < 2 hours ago,"Safety Equipment Electronic Stability Control (ESC) And Roll Stability Control (RSC) ABS And Driveline Traction Control Side Impact Beams Dual Stage Driver And Passenger Seat-Mounted Side Airbags ...
Automatic | 192,220 km",Used,2014.0,Ford,F-250,XLT | 4X4 |SUPER DUTY | LONG BOX | FORD SERVICED | CLEAN,White,Pickup Truck,4,6,4 x 4,Automatic,"192,220"
623,115,Acura TL Type-S,"$6,000.00",City of Toronto < 2 hours ago,"Sad day here to see it leave, but posted is my Acura TL Type-s. Purchased 5 years ago from here on kijiji marketplace at just over 190000kms since then it’s taken me all the way to 263000 where it ...
Automatic | 263,000 km",Used,2007.0,Acura,TL,w/Navigation Pkg,White,Sedan,,,Front-wheel drive (FWD),Automatic,"263,000"
624,116,2017 Cadillac CTS Sedan Luxury AWD,"$25,900.00",Oshawa / Durham Region < 2 hours ago,"Engine: 3.6L
Automatic | 137,167 km | CARFAX Canada Report",Used,2017.0,Cadillac,CTS,Luxury AWD,Other,Sedan,4,5,All-wheel drive (AWD),Automatic,"137,167"
625,117,2013 Volkswagen Jetta GLI 6 SPEED MANUAL-LEATHER-ROOF-18 INCH WHEELS!,"$13,888.00",City of Toronto < 2 hours ago,"**THIS VEHICLE COMES FULLY CERTIFIED WITH A SAFETY CERTIFICATE AT NO EXTRA COST** VERY RARE ***JETTA GLI *** CARFAX VERIFIED!! ABSOLUTELY GORGEOUS! FULLY LOADED!! JET BLACK ON BLACK LEATHER ...
Manual | 158,000 km",Used,2013.0,Volkswagen,GLI,6 SPEED MANUAL-LEATHER-ROOF-18 INCH WHEELS!,Black,Sedan,4,5,Front-wheel drive (FWD),Manual,"158,000"
626,118,2014 TOYOTA RAV4 LE AWD- 1 OWNER | CLEAN | CERTIFIED |BACKUP CAM,"$16,499.00",City of Toronto < 2 hours ago,"Just arrived! Grey on Black 2014 Toyota RAV4 LE AWD. One Owner! 2.5L 4 cylinder, great on gas and very reliable vehicle. Very clean in and out. No rust on body. 186,370 kms, runs excellent with no ...
Quality Cars, Quality Care!
Automatic | 186,370 km | CARFAX Canada Report",Used,2014.0,Toyota,RAV4,LE,Grey,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"186,370"
627,119,2022 Ford F-150 XLT,"$67,950.00
MSRP: $67,950.00",NEW CAR Oakville / Halton Region < 2 hours ago,CARBONIZED GREY METALLIC|SPORT CLOTH 40/CONSOLE/40|BLACK|.XLT SERIES|.BOXLINK CARGO SYSTEM|.ELECTRONIC AUTO TEMP CONTROL|.LED BOX LIGHTING|.LED SIDE-MIRROR SPOT LIGHTS|.POWER SLIDING REAR ...,New,2022.0,Ford,F-150,XLT,Grey,Pickup Truck,4,5,Other,,
628,120,2017 Toyota Sienna 7 Passenger Base Pkg~Backup CAM~TOYOTA CLI...,"$33,888.00
$34,988.00",City of Toronto < 16 hours ago,"KEY SERVICE HIGHLIGHTS: FRESH OIL CHANGE | NEW FRONT BRAKE ROTORS | REAR BRAKES SERVICED! This vehicle has LOW KILOMETERS, had ONE OWNER, has a Clean Vehicle History Report with NO ACCIDENTS and ...
Automatic | 82,105 km | CARFAX Canada Report",Used,2017.0,Toyota,Sienna,7 Passenger,Grey,Other,,,Front-wheel drive (FWD),Automatic,"82,105"
629,121,2017 Honda Civic Hatchback LX,"$22,199.00",Provincial Top Ad:  London < 17 hours ago,"You can buy a Civic Hatchback anywhere! This is why you should buy from us! Here at London Honda, we're proud to be a top 5 Honda Certified dealer in Canada and we take great pride in our Honda ...
Honda Certified - Includes a Factory Backed Warranty giving you total peace of mind.
Automatic | 111,614 km | Certified Pre-owned CARFAX Canada Report",Used,2017.0,Honda,Civic,LX,Silver,Hatchback,4,5,Front-wheel drive (FWD),Automatic,"111,614"
